터미널번호,터미널명,구,동,주소,보관대수,사용유무,등록일,위도,경도
33,봉곡농협하나로클럽,의창구,봉림동,경남 창원시 의창구 봉곡동  41,25,사용안함,20090422,35.24299699733911,128.65308076143265
45,정우상가(철거),성산구,용지동,경남 창원시 성산구 용지동  정우상가 앞,0,사용안함,20090426,35.22861180943149,128.67883412577797
104,경남스틸앞,성산구,웅남동,경남 창원시 성산구 웅남동  516 구,0,사용안함,20090514,35.20688142315194,128.65539014339447
107,동읍사무소,의창구,동읍,경남 창원시 의창구 동읍 용잠리 1158-36,15,사용안함,20090514,35.28448715163778,128.68202716112137
112,창원농산물도매시장,의창구,팔용동,경남 창원시 의창구 팔용동  7 대,0,사용안함,20100111,35.22915346176128,128.63815426826477
122,신월민원센터,성산구,용지동,경남 창원시 성산구 신월동  68-5 대,20,사용안함,20100111,35.227873927276626,128.6925333738327
128,대산면 대산중앞,의창구,대산면,경남 창원시 의창구 대산면 제동리 273-70 도,0,사용안함,20100111,35.33373963967941,128.70890021324158
138,제3표준공장,의창구,팔용동,경남 창원시 의창구 팔용동  36번지,0,사용안함,20100719,35.23854682041036,128.63710027861828
146,성산아트홀,성산구,용지동,경남 창원시 성산구 용호동  2 대,0,사용안함,20100622,35.22915346176128,128.68415415287018
175,창원1,진해구,충무동,경남 창원시 진해구 경화동  창원시청,20,사용안함,20110803,35.14816126272484,128.6357295513153
176,창원2,진해구,충무동,경남 창원시 진해구 경화동  창원시청,30,사용안함,20110803,35.15224042203139,128.63978505134582
177,창원3,진해구,충무동,경남 창원시 진해구 경화동  창원시청,0,사용안함,20110803,35.15073159553743,128.64632964134216
178,창원4,진해구,충무동,경남 창원시 진해구 경화동  창원시청,20,사용안함,20110803,35.14184474166084,128.64319682121277
179,창원5,진해구,중앙동,경남 창원시 진해구 경화동  창원시청,0,사용안함,20110803,35.12716571031632,128.66360306739807
182,대원동 삼각지,의창구,팔용동,경남 창원시 성산구 대원동  13,0,사용안함,20110805,35.23379379595275,128.65450501441955
190,해군사관학교 입구,진해구,태평동,경남 창원시 진해구 대영동  1-1 도로,0,사용안함,20110805,35.144362635899036,128.65865170955658
